Id,clave_unica,Happy,Engage,WearingGlasses,LeftEyeClosed,RightEyeClosed,MouthOpen,MouthMoved,LookingAway,Fecha,nombrePC,Resource_Id,No_Usuarios
1,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,No,Yes,No,No,Maybe,"2015-12-16 12:26:00",MCC-05,NULL,3
2,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,No,No,Yes,No,Maybe,Maybe,"2015-12-16 12:26:01",MCC-05,NULL,3
3,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,No,No,No,Maybe,Maybe,"2015-12-16 12:26:01",MCC-05,NULL,3
4,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,No,No,No,No,Yes,No,"2015-12-16 12:26:02",MCC-05,NULL,3
5,5753C815-44AB-4D8B-B910-84F33AB20BE4,Maybe,Maybe,Yes,Maybe,Yes,Yes,Yes,Maybe,"2015-12-16 12:26:02",MCC-05,NULL,0
6,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,No,Maybe,Maybe,Yes,"2015-12-16 12:26:02",MCC-05,NULL,0
7,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:26:03",MCC-05,NULL,0
8,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:26:03",MCC-05,NULL,0
9,5753C815-44AB-4D8B-B910-84F33AB20BE4,Unknown,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"2015-12-16 12:26:03",MCC-05,NULL,0
10,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe,"2015-12-16 12:26:03",MCC-05,NULL,0
11,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Maybe,Yes,Yes,Maybe,Maybe,Yes,Maybe,"2015-12-16 12:26:04",MCC-05,NULL,0
12,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,Maybe,Yes,Maybe,"2015-12-16 12:26:04",MCC-05,NULL,0
13,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,Yes,Yes,No,Yes,No,Yes,No,"2015-12-16 12:26:04",MCC-05,NULL,0
14,5753C815-44AB-4D8B-B910-84F33AB20BE4,No,No,Yes,Yes,Yes,No,Yes,No,"2015-12-16 12:26:04",MCC-05,NULL,0
